ds,y,created_at,updated_at
2025-05-02,65,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-03,54,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-04,74,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-05,52,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-06,47,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-07,56,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-08,61,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-09,63,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-10,43,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-11,49,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-12,67,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-13,38,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-14,74,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-15,58,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-16,34,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-17,51,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-18,57,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-19,59,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-20,52,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-21,50,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-22,195,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-23,188,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-24,207,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-25,54,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
2025-05-26,63,2025-05-26T13:00:55.787987,2025-05-26T13:00:55.787987
